MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,151.1030000,135.9574738,-21.6645966,-0.2685328
MsgID.LOCAL_VELOCITY,151.1030000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937036,0.2680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,151.3530000,135.9394836,-21.6645355,-0.2718622
MsgID.LOCAL_VELOCITY,151.3530000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937034,0.2710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,151.6030000,135.8259735,-21.6644783,-0.2692764
MsgID.LOCAL_VELOCITY,151.6030000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937024,0.2690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,151.8540000,135.9112091,-21.6480255,-0.2616108
MsgID.LOCAL_VELOCITY,151.8540000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976935,37.7937032,0.2610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,152.1090000,136.0899811,-21.5630112,-0.2492158
MsgID.LOCAL_VELOCITY,152.1090000,0.0003709,-0.0001008,-0.0000093
MsgID.GLOBAL_POSITION,0.0000000,-122.3976925,37.7937048,0.2490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,152.3600000,136.1054840,-21.5390434,-0.2334848
MsgID.LOCAL_VELOCITY,152.3600000,0.0003666,-0.0000594,0.0000442
MsgID.GLOBAL_POSITION,0.0000000,-122.3976923,37.7937049,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976918,37.7937041,0.2130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,152.6100000,136.0117798,-21.5014648,-0.2137987
MsgID.LOCAL_VELOCITY,152.6100000,0.0003559,-0.0000748,0.0000349
MsgID.LOCAL_POSITION,152.8600000,135.9557800,-21.4869919,-0.1955832
MsgID.LOCAL_VELOCITY,152.8600000,0.0003658,-0.0000849,0.0000202
MsgID.GLOBAL_POSITION,0.0000000,-122.3976917,37.7937036,0.1950000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,153.1100000,135.8921509,-21.4203548,-0.1782423
MsgID.LOCAL_VELOCITY,153.1100000,0.0003547,-0.0000727,0.0000310
MsgID.GLOBAL_POSITION,0.0000000,-122.3976942,37.7937034,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,153.3600000,135.7856750,-21.4537945,-0.1661684
MsgID.LOCAL_VELOCITY,153.3600000,0.0003550,-0.0000785,0.0000129
MsgID.GLOBAL_POSITION,0.0000000,-122.3976946,37.7937025,0.1660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,153.6100000,135.7042999,-21.2447243,-0.1573077
MsgID.LOCAL_VELOCITY,153.6100000,0.0003600,-0.0000927,-0.0000039
MsgID.GLOBAL_POSITION,0.0000000,-122.3976923,37.7937018,0.1570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,153.8610000,135.7793121,-21.4607735,-0.1516454
MsgID.LOCAL_VELOCITY,153.8610000,0.0003538,-0.0000723,0.0000190
MsgID.GLOBAL_POSITION,0.0000000,-122.3976947,37.7937024,0.1510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,154.1110000,136.0140533,-21.4535103,-0.1469826
MsgID.LOCAL_VELOCITY,154.1110000,0.0003714,-0.0000719,0.0000296
MsgID.GLOBAL_POSITION,0.0000000,-122.3976946,37.7937045,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3976940,37.7937034,0.1450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
